Timestep;year;month;day;hour;real_time_measured_MW;monitored_capacity_MW;capacity_factor
276;2015;1;31;11;105.8575;1122.51;0.094304282
277;2015;1;31;12;101.1175;1122.51;0.090081603
278;2015;1;31;13;93.73;1122.51;0.08350037
279;2015;1;31;14;65.195;1122.51;0.058079661
280;2015;1;31;15;41.3275;1122.51;0.036817044
281;2015;1;31;16;25.1825;1122.51;0.022434099
282;2015;1;31;17;38.3625;1122.51;0.034175642
283;2015;1;31;18;38.32;1122.51;0.034137781
284;2015;1;31;19;48.0275;1122.51;0.04278581
285;2015;1;31;20;38.635;1122.51;0.034418402
286;2015;1;31;21;45.47;1122.51;0.040507434
287;2015;1;31;22;46.1;1122.51;0.041068676
288;2015;1;31;23;53.7725;1122.51;0.047903805
289;2015;2;1;0;147.3875;1122.51;0.131301726
290;2015;2;1;1;187.2925;1122.51;0.16685152
291;2015;2;1;2;227.505;1122.51;0.202675255
292;2015;2;1;3;291.6675;1122.51;0.259835102
293;2015;2;1;4;370.8475;1122.51;0.330373449
294;2015;2;1;5;416.005;1122.51;0.370602489
295;2015;2;1;6;431.385;1122.51;0.384303926
296;2015;2;1;7;393.9625;1122.51;0.350965693
297;2015;2;1;8;357.93;1122.51;0.318865756
298;2015;2;1;9;361.2875;1122.51;0.321856821
299;2015;2;1;10;384.3725;1122.51;0.342422339
300;2015;2;1;11;449.1175;1122.51;0.400101113
301;2015;2;1;12;482.3475;1122.51;0.429704412
302;2015;2;1;13;541.305;1122.51;0.48222733
303;2015;2;1;14;560.23;1122.51;0.499086868
304;2015;2;1;15;538.2525;1122.51;0.479507978
305;2015;2;1;16;517.35;1122.51;0.460886763
306;2015;2;1;17;556.5975;1122.51;0.495850816
307;2015;2;1;18;549.01;1122.51;0.489091411
308;2015;2;1;19;500.11;1122.51;0.445528325
309;2015;2;1;20;414.4825;1122.51;0.369246154
310;2015;2;1;21;416.485;1122.51;0.371030102
311;2015;2;1;22;410.4475;1122.51;0.365651531
312;2015;2;1;23;398.53;1122.51;0.355034699
313;2015;2;2;0;342.0425;1122.51;0.304712207
314;2015;2;2;1;338.87;1122.51;0.301885952
315;2015;2;2;2;247.2775;1122.51;0.220289797
316;2015;2;2;3;257.8275;1122.51;0.229688377
317;2015;2;2;4;271.745;1122.51;0.24208693
318;2015;2;2;5;262.645;1122.51;0.233980098
319;2015;2;2;6;267.6625;1122.51;0.238449992
320;2015;2;2;7;247.87;1122.51;0.220817632
321;2015;2;2;8;229.245;1122.51;0.204225352
322;2015;2;2;9;225.845;1122.51;0.201196426
323;2015;2;2;10;217.83;1122.51;0.194056178
324;2015;2;2;11;215.1875;1122.51;0.191702078
325;2015;2;2;12;219.9575;1122.51;0.195951484
326;2015;2;2;13;199.1;1122.51;0.177370358
327;2015;2;2;14;208.0075;1122.51;0.185305699
328;2015;2;2;15;197.3175;1122.51;0.175782398
329;2015;2;2;16;195.0325;1122.51;0.173746782
330;2015;2;2;17;182.27;1122.51;0.162377173
331;2015;2;2;18;184.925;1122.51;0.164742408
332;2015;2;2;19;184.1;1122.51;0.164007448
333;2015;2;2;20;154.33;1122.51;0.137486526
334;2015;2;2;21;136.3275;1122.51;0.121448807
335;2015;2;2;22;108.8375;1122.51;0.096959047
336;2015;2;2;23;99.33;1122.51;0.088489189
337;2015;2;3;0;83.755;1122.51;0.074614035
338;2015;2;3;1;68.6075;1122.51;0.061119723
339;2015;2;3;2;55.16;1122.51;0.049139874
340;2015;2;3;3;44.39;1122.51;0.039545305
341;2015;2;3;4;35.7475;1122.51;0.031846041
342;2015;2;3;5;35.75;1122.51;0.031848269
343;2015;2;3;6;38.9375;1122.51;0.034687887
344;2015;2;3;7;33.91;1122.51;0.030209085
345;2015;2;3;8;28.4475;1122.51;0.025342759
346;2015;2;3;9;22.1725;1122.51;0.019752608
347;2015;2;3;10;16.315;1122.51;0.014534392
348;2015;2;3;11;11.29;1122.51;0.010057817
349;2015;2;3;12;6.9925;1122.51;0.006229343
350;2015;2;3;13;5.2425;1122.51;0.004670337
351;2015;2;3;14;5.48;1122.51;0.004881916
352;2015;2;3;15;7.555;1122.51;0.006730452
353;2015;2;3;16;11.54;1122.51;0.010280532
354;2015;2;3;17;22.6125;1122.51;0.020144587
355;2015;2;3;18;38.825;1122.51;0.034587665
356;2015;2;3;19;63.1725;1122.51;0.056277895
357;2015;2;3;20;82.18;1122.51;0.073210929
358;2015;2;3;21;92.9375;1122.51;0.082794363
359;2015;2;3;22;105.305;1122.51;0.093812082
360;2015;2;3;23;142.5475;1122.51;0.12698996
361;2015;2;4;0;211.65;1122.51;0.188550659
362;2015;2;4;1;179.925;1122.51;0.160288104
363;2015;2;4;2;181.88;1122.51;0.162029737
364;2015;2;4;3;192.1925;1122.51;0.171216737
365;2015;2;4;4;214.285;1122.51;0.190898077
366;2015;2;4;5;187.085;1122.51;0.166666667
367;2015;2;4;6;119.63;1122.51;0.106573661
368;2015;2;4;7;67.9;1122.51;0.060489439
369;2015;2;4;8;61.28;1122.51;0.054591941
370;2015;2;4;9;73.2475;1122.51;0.065253316
371;2015;2;4;10;72.725;1122.51;0.064787842
372;2015;2;4;11;37.3275;1122.51;0.033253601
373;2015;2;4;12;24.995;1122.51;0.022267062
374;2015;2;4;13;44.655;1122.51;0.039781383
375;2015;2;4;14;62.67;1122.51;0.055830238
376;2015;2;4;15;76.2375;1122.51;0.06791699
377;2015;2;4;16;71.225;1122.51;0.063451551
378;2015;2;4;17;67.845;1122.51;0.060440442
379;2015;2;4;18;105.885;1122.51;0.094328781
380;2015;2;4;19;137.695;1122.51;0.122667059
381;2015;2;4;20;155.475;1122.51;0.138506561
382;2015;2;4;21;160.8475;1122.51;0.14329271
383;2015;2;4;22;156.155;1122.51;0.139112346
384;2015;2;4;23;139.5625;1122.51;0.124330741
385;2015;2;5;0;136.245;1122.51;0.121375311
386;2015;2;5;1;102.98;1122.51;0.091740831
387;2015;2;5;2;82.1925;1122.51;0.073222065
388;2015;2;5;3;64.895;1122.51;0.057812403
389;2015;2;5;4;65.3175;1122.51;0.058188791
390;2015;2;5;5;75.65;1122.51;0.067393609
391;2015;2;5;6;80.005;1122.51;0.071273307
392;2015;2;5;7;110.27;1122.51;0.098235205
393;2015;2;5;8;100.6175;1122.51;0.089636173
394;2015;2;5;9;88.6025;1122.51;0.078932482
395;2015;2;5;10;96.3375;1122.51;0.085823289
396;2015;2;5;11;139.0075;1122.51;0.123836313
397;2015;2;5;12;207.295;1122.51;0.184670961
398;2015;2;5;13;319.84;1122.51;0.284932874
399;2015;2;5;14;401.6375;1122.51;0.357803049
400;2015;2;5;15;451.27;1122.51;0.40201869
401;2015;2;5;16;556.41;1122.51;0.49568378
402;2015;2;5;17;609.89;1122.51;0.543327008
403;2015;2;5;18;663.4725;1122.51;0.59106155
404;2015;2;5;19;606.7225;1122.51;0.540505207
405;2015;2;5;20;573.8425;1122.51;0.511213709
406;2015;2;5;21;691.2875;1122.51;0.615840839
407;2015;2;5;22;705.435;1122.51;0.62844429
408;2015;2;5;23;802.3425;1122.51;0.714775369
409;2015;2;6;0;799.715;1122.51;0.712434633
410;2015;2;6;1;840.9025;1122.51;0.749126957
411;2015;2;6;2;860.595;1122.51;0.76667023
412;2015;2;6;3;836.585;1122.51;0.745280666
413;2015;2;6;4;799.0375;1122.51;0.711831075
414;2015;2;6;5;820.6425;1122.51;0.73107812
415;2015;2;6;6;855.64;1122.51;0.762256016
416;2015;2;6;7;841.8725;1122.51;0.749991091
417;2015;2;6;8;843.36;1122.51;0.751316247
418;2015;2;6;9;816.885;1122.51;0.727730711
419;2015;2;6;10;774.4525;1122.51;0.689929266
420;2015;2;6;11;782.9325;1122.51;0.697483764
421;2015;2;6;12;793.4175;1122.51;0.706824438
422;2015;2;6;13;762.9575;1122.51;0.679688822
423;2015;2;6;14;745.0475;1122.51;0.663733508
424;2015;2;6;15;749.2025;1122.51;0.667435034
425;2015;2;6;16;737.06;1122.51;0.656617758
426;2015;2;6;17;737.885;1122.51;0.657352718
427;2015;2;6;18;727.4875;1122.51;0.648089995
428;2015;2;6;19;725.075;1122.51;0.645940793
429;2015;2;6;20;735.59;1122.51;0.655308193
430;2015;2;6;21;727.7825;1122.51;0.648352799
431;2015;2;6;22;692.5675;1122.51;0.61698114
432;2015;2;6;23;664.31;1122.51;0.591807645
433;2015;2;7;0;584.8675;1122.51;0.521035447
434;2015;2;7;1;493.1625;1122.51;0.43933907
435;2015;2;7;2;501.8475;1122.51;0.447076195
436;2015;2;7;3;440.365;1122.51;0.392303855
437;2015;2;7;4;395.785;1122.51;0.352589287
