Timestep;Y;M;D;H;AvgOfRealTime
250;2015;1;30;9;12955.25
251;2015;1;30;10;13018.50
252;2015;1;30;11;12983.50
253;2015;1;30;12;12654.00
254;2015;1;30;13;12621.00
255;2015;1;30;14;12379.50
256;2015;1;30;15;12244.25
257;2015;1;30;16;12159.00
258;2015;1;30;17;12545.50
259;2015;1;30;18;12798.75
260;2015;1;30;19;12318.75
261;2015;1;30;20;11757.75
262;2015;1;30;21;11150.50
263;2015;1;30;22;11471.75
264;2015;1;30;23;11600.25
265;2015;1;31;0;11034.75
266;2015;1;31;1;10439.25
267;2015;1;31;2;10016.00
268;2015;1;31;3;9748.50
269;2015;1;31;4;9583.25
270;2015;1;31;5;9537.00
271;2015;1;31;6;9794.00
272;2015;1;31;7;10052.25
273;2015;1;31;8;10570.25
274;2015;1;31;9;11093.50
275;2015;1;31;10;11307.50
276;2015;1;31;11;11465.75
277;2015;1;31;12;11508.25
278;2015;1;31;13;11336.25
279;2015;1;31;14;11184.75
280;2015;1;31;15;11085.50
281;2015;1;31;16;11014.00
282;2015;1;31;17;11566.50
283;2015;1;31;18;12019.00
284;2015;1;31;19;11672.75
285;2015;1;31;20;11143.50
286;2015;1;31;21;10643.25
287;2015;1;31;22;10817.00
288;2015;1;31;23;10963.25
289;2015;2;1;0;10511.75
290;2015;2;1;1;10060.50
291;2015;2;1;2;9640.50
292;2015;2;1;3;9345.75
293;2015;2;1;4;9253.75
294;2015;2;1;5;9163.00
295;2015;2;1;6;9224.25
296;2015;2;1;7;9324.25
297;2015;2;1;8;9733.25
298;2015;2;1;9;10324.25
299;2015;2;1;10;10800.25
300;2015;2;1;11;11215.00
301;2015;2;1;12;11462.00
302;2015;2;1;13;11234.00
303;2015;2;1;14;10937.00
304;2015;2;1;15;10808.50
305;2015;2;1;16;10669.75
306;2015;2;1;17;11113.75
307;2015;2;1;18;11870.50
308;2015;2;1;19;11728.75
309;2015;2;1;20;11269.75
310;2015;2;1;21;10824.50
311;2015;2;1;22;10965.75
312;2015;2;1;23;10937.50
313;2015;2;2;0;10488.75
314;2015;2;2;1;10075.25
315;2015;2;2;2;9697.00
316;2015;2;2;3;9426.50
317;2015;2;2;4;9504.00
318;2015;2;2;5;10041.75
319;2015;2;2;6;11323.50
320;2015;2;2;7;12411.25
321;2015;2;2;8;12621.25
322;2015;2;2;9;12767.25
323;2015;2;2;10;12753.75
324;2015;2;2;11;12794.00
325;2015;2;2;12;12648.75
326;2015;2;2;13;12677.00
327;2015;2;2;14;12619.75
328;2015;2;2;15;12568.50
329;2015;2;2;16;12635.25
330;2015;2;2;17;13061.50
331;2015;2;2;18;13533.00
332;2015;2;2;19;13053.75
333;2015;2;2;20;12449.75
334;2015;2;2;21;11745.00
335;2015;2;2;22;11919.25
336;2015;2;2;23;11886.75
337;2015;2;3;0;11369.25
338;2015;2;3;1;10862.50
339;2015;2;3;2;10518.00
340;2015;2;3;3;10208.50
341;2015;2;3;4;10165.50
342;2015;2;3;5;10539.50
343;2015;2;3;6;11735.00
344;2015;2;3;7;12727.75
345;2015;2;3;8;12845.25
346;2015;2;3;9;12910.00
347;2015;2;3;10;12890.75
348;2015;2;3;11;12997.25
349;2015;2;3;12;12659.50
350;2015;2;3;13;12758.00
351;2015;2;3;14;12664.25
352;2015;2;3;15;12569.75
353;2015;2;3;16;12456.00
354;2015;2;3;17;12779.75
355;2015;2;3;18;13602.75
356;2015;2;3;19;13152.25
357;2015;2;3;20;12469.25
