Timestep;Y;M;D;H;real_time_measured_MW;monitored_capacity_MW;capacity_factor
190;2015;1;27;21;114.78;712.2;0.161162595
191;2015;1;27;22;127.37;712.2;0.178840213
192;2015;1;27;23;198.73;712.2;0.279036787
193;2015;1;28;0;267.58;712.2;0.37570907
194;2015;1;28;1;377.89;712.2;0.530595338
195;2015;1;28;2;511.7;712.2;0.718477956
196;2015;1;28;3;565.9;712.2;0.794580174
197;2015;1;28;4;573.26;712.2;0.80491435
198;2015;1;28;5;519.14;712.2;0.728924459
199;2015;1;28;6;608.55;712.2;0.854465038
200;2015;1;28;7;605.13;712.2;0.849663016
201;2015;1;28;8;659.2;712.2;0.925582701
202;2015;1;28;9;667.78;712.2;0.937629879
203;2015;1;28;10;663.03;712.2;0.930960404
204;2015;1;28;11;651.93;712.2;0.915374895
205;2015;1;28;12;638.36;712.2;0.896321258
206;2015;1;28;13;622.55;712.2;0.874122438
207;2015;1;28;14;579.68;712.2;0.813928672
208;2015;1;28;15;632.23;712.2;0.887714125
209;2015;1;28;16;668.79;712.2;0.93904802
210;2015;1;28;17;669.39;712.2;0.93989048
211;2015;1;28;18;667.09;712.2;0.93666105
212;2015;1;28;19;661.46;712.2;0.928755967
213;2015;1;28;20;666.47;712.2;0.935790508
214;2015;1;28;21;667.2;712.2;0.936815501
215;2015;1;28;22;665.76;712.2;0.934793597
216;2015;1;28;23;665.96;712.2;0.935074417
217;2015;1;29;0;665.96;712.2;0.935074417
218;2015;1;29;1;661.95;712.2;0.929443976
219;2015;1;29;2;660.7;712.2;0.927688851
220;2015;1;29;3;667.72;712.2;0.937545633
221;2015;1;29;4;669.47;712.2;0.940002808
222;2015;1;29;5;669.47;712.2;0.940002808
223;2015;1;29;6;671.29;712.2;0.94255827
224;2015;1;29;7;670.89;712.2;0.94199663
225;2015;1;29;8;669.47;712.2;0.940002808
226;2015;1;29;9;668.89;712.2;0.93918843
227;2015;1;29;10;668.4;712.2;0.938500421
228;2015;1;29;11;663.49;712.2;0.93160629
229;2015;1;29;12;493.73;712.2;0.693246279
230;2015;1;29;13;659.39;712.2;0.92584948
231;2015;1;29;14;645.97;712.2;0.907006459
232;2015;1;29;15;637.37;712.2;0.894931199
233;2015;1;29;16;387.545;712.2;0.544151924
234;2015;1;29;17;137.72;712.2;0.193372648
235;2015;1;29;18;543.56;712.2;0.763212581
236;2015;1;29;19;604.71;712.2;0.849073294
